id,name,anal,anal_ID,quar,quar_ID,cal,cal_ID,arag,arag_ID,dolo,dolo_ID,orth,orth_ID,anorth,anorth_ID,plagi,plagi_ID,mont,mont_ID,ill,ill_ID,py,py_ID,alb,alb_ID,mus,mus_ID,anothi,anothi_ID,iron,iron_ID,paly,paly_ID,chab,chab_ID,phil,phil_ID,harm,harm_ID,clin,clin_ID,erio,erio_ID,sani,sani_ID,hali,hali_ID,gyp,gyp_ID,andr,andr_ID,nont,nont_ID,any1,any1_ID,any2,any2_ID
1,2A-20Y-1-16-18,1,NA,3,NA,0,NA,0,NA,2,01-079-1345,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,2,00-020-0528,0,NA,1,01-082-1872,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,,0,
2,2A-20Y-1-48-50,1,NA,3,NA,2,NA,0,NA,0,NA,2,NA,1,01-076-0803,0,NA,0,NA,0,NA,0,NA,2,01-089-6423,1,NA,0,NA,0,NA,0,NA,1,00-034-0137,1,00-039-1375,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,2,Cordiarite,0,NA
3,2A-20Y-1-80-83,0,NA,3,NA,2,NA,0,NA,0,NA,0,NA,0,NA,2,01-083-1371,1,NA,0,NA,0,NA,2,00-041-1480,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Microcline,0,NA
4,2A-20Y-1-112-114,1,NA,3,NA,2,01-071-3699,0,NA,0,NA,0,NA,0,NA,2,01-083-1417,2,NA,0,NA,0,NA,3,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Aluminium Oxide,0,NA
5,2A-20Y-1-144-146,1,NA,2,NA,3,01-071-3699,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,2,NA,1,NA,1,01-075-1587,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,00-010-0357,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
6,2A-20Y-2-16-18,1,NA,3,01-086-1560,1,01-071-3699,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,2,00-020-0528,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Actinolite,0,NA
7,2A-20Y-2-48-50,1,00-041-1478,2,NA,2,01-071-3699,0,NA,0,NA,0,NA,0,NA,1,01-083-1417,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Sodium Aluminium Silicate,0,NA
8,2A-20Y-2-80-83,1,NA,1,NA,1,01-071-3699,0,NA,0,NA,0,NA,0,NA,0,NA,1,NA,0,NA,0,NA,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA
9,2A-20Y-2-112-114,2,NA,2,01-086-1560,3,01-071-3699,0,NA,0,NA,0,NA,3,01-076-0803,0,NA,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Actinolite,0,NA
10,2A-20Y-2-144-146,1,NA,1,01-086-1560,1,01-071-3699,0,NA,0,NA,0,NA,1,NA,0,NA,1,00-012-0204,1,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,1,Actinolite,0,NA
